,precision,recall,f1-score,support
ACCOUNTANT,1.0,1.0,1.0,24.0
ADVOCATE,0.9090909090909091,0.8333333333333334,0.8695652173913043,24.0
AGRICULTURE,0.6470588235294118,0.8461538461538461,0.7333333333333333,13.0
APPAREL,0.5238095238095238,0.5789473684210527,0.55,19.0
ARTS,0.4583333333333333,0.5238095238095238,0.4888888888888889,21.0
AUTOMOBILE,0.5,0.5714285714285714,0.5333333333333333,7.0
AVIATION,0.7037037037037037,0.7916666666666666,0.7450980392156863,24.0
BANKING,0.72,0.782608695652174,0.75,23.0
BPO,0.3333333333333333,0.25,0.2857142857142857,4.0
BUSINESS-DEVELOPMENT,0.8888888888888888,1.0,0.9411764705882353,24.0
CHEF,0.9523809523809523,0.8333333333333334,0.8888888888888888,24.0
CONSTRUCTION,1.0,0.9090909090909091,0.9523809523809523,22.0
CONSULTANT,0.9565217391304348,0.9565217391304348,0.9565217391304348,23.0
DESIGNER,1.0,0.9523809523809523,0.975609756097561,21.0
DIGITAL-MEDIA,0.7222222222222222,0.6842105263157895,0.7027027027027027,19.0
ENGINEERING,0.96,1.0,0.9795918367346939,24.0
FINANCE,1.0,1.0,1.0,24.0
FITNESS,0.8571428571428571,0.5217391304347826,0.6486486486486487,23.0
HEALTHCARE,0.7368421052631579,0.6086956521739131,0.6666666666666666,23.0
HR,1.0,1.0,1.0,22.0
INFORMATION-TECHNOLOGY,0.9166666666666666,0.9166666666666666,0.9166666666666666,24.0
PUBLIC-RELATIONS,0.7619047619047619,0.7272727272727273,0.7441860465116279,22.0
SALES,0.9565217391304348,0.9565217391304348,0.9565217391304348,23.0
TEACHER,0.8,1.0,0.8888888888888888,20.0
accuracy,0.8329979879275654,0.8329979879275654,0.8329979879275654,0.8329979879275654
macro avg,0.8043508983137747,0.8018492242247963,0.7989326708713848,497.0
weighted avg,0.8399714426732573,0.8329979879275654,0.8325020957322108,497.0
